EmployeeID,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,hrs
1099,High,Medium,Better,41,No,Travel_Rarely,Research & Development,5,Bachelor,Life Sciences,1,Female,1,Sales Executive,Married,66230,5.0,Y,18,8,0,14.0,3,5,1,4,High,Excellent,6.385754830917778
1100,High,Low,Best,42,No,Travel_Rarely,Research & Development,7,Bachelor,Technical Degree,1,Female,2,Sales Executive,Married,182650,9.0,Y,12,8,1,18.0,4,13,5,7,High,Excellent,7.351559370529166
1101,High,Very High,Better,31,No,Travel_Rarely,Sales,9,Master,Life Sciences,1,Female,1,Sales Executive,Divorced,161240,2.0,Y,23,8,1,8.0,2,5,1,4,Medium,Outstanding,8.255758226036944
1102,Very High,Very High,Good,34,No,Travel_Rarely,Research & Development,8,Below College,Life Sciences,1,Female,3,Laboratory Technician,Married,25850,3.0,Y,12,8,0,9.0,5,4,0,1,High,Excellent,9.1741238425925
1103,Low,High,Good,31,No,Travel_Rarely,Sales,25,College,Life Sciences,1,Female,3,Manufacturing Director,Divorced,182130,8.0,Y,21,8,2,4.0,3,2,2,2,Very High,Outstanding,6.77260665729
1104,High,Very High,Better,26,No,Travel_Frequently,Sales,16,College,Life Sciences,1,Male,2,Healthcare Representative,Married,83800,<built-in method __round__ of numpy.float64 object at 0x0000018675B7B030>,Y,14,8,0,8.0,3,7,7,7,Very High,Excellent,6.021724637681111
1105,Medium,High,Better,45,No,Travel_Frequently,Research & Development,8,Master,Life Sciences,1,Female,2,Manager,Single,29940,4.0,Y,18,8,1,12.0,2,4,0,3,High,Excellent,7.752394235239167
1106,Medium,High,Good,33,No,Travel_Rarely,Sales,1,Bachelor,Life Sciences,1,Female,5,Sales Executive,Single,12230,1.0,Y,13,8,1,10.0,3,10,0,9,High,Excellent,6.394326599326389
1107,High,Very High,Better,28,No,Travel_Frequently,Sales,8,Bachelor,Life Sciences,1,Male,4,Research Scientist,Married,11180,1.0,Y,11,8,0,7.0,3,7,0,7,High,Excellent,10.559045284780556
1108,High,Low,Better,29,Yes,Travel_Frequently,Human Resources,2,Master,Human Resources,1,Male,2,Sales Executive,Single,28750,1.0,Y,11,8,0,1.0,3,1,0,0,High,Excellent,6.806472222222222
1109,Low,High,Better,39,No,Non-Travel,Research & Development,8,Doctor,Medical,1,Female,2,Sales Representative,Married,188240,6.0,Y,19,8,1,10.0,4,3,1,2,High,Excellent,6.267705627705555
1110,Medium,Medium,Good,27,No,Travel_Rarely,Sales,3,College,Technical Degree,1,Male,2,Healthcare Representative,Married,135770,1.0,Y,12,8,1,6.0,2,5,1,2,High,Excellent,7.190538720538611
1111,High,Very High,Better,34,No,Travel_Frequently,Research & Development,9,Master,Life Sciences,1,Female,2,Manufacturing Director,Married,26250,1.0,Y,12,8,3,16.0,4,15,6,11,High,Excellent,8.891274376417222
1112,Very High,High,Better,28,Yes,Travel_Rarely,Research & Development,25,Bachelor,Technical Degree,1,Male,1,Research Director,Single,187890,3.0,Y,16,8,1,6.0,4,2,2,2,High,Excellent,9.42502834467111
1113,High,Medium,Best,47,No,Non-Travel,Research & Development,1,Master,Medical,1,Male,1,Research Scientist,Married,45380,8.0,Y,11,8,0,16.0,3,8,1,7,High,Excellent,5.97765379113
1114,Very High,Low,Better,56,No,Travel_Rarely,Research & Development,4,Bachelor,Technical Degree,1,Female,2,Sales Executive,Married,198470,4.0,Y,14,8,0,6.0,6,0,0,0,High,Excellent,7.856788793103333
1115,Low,Low,Better,39,No,Travel_Rarely,Research & Development,1,Bachelor,Other,1,Female,1,Laboratory Technician,Married,105120,1.0,Y,12,8,1,10.0,2,10,7,9,High,Excellent,6.955873015872778
1116,Very High,Medium,Better,38,No,Travel_Frequently,Research & Development,4,College,Medical,1,Female,1,Manager,Divorced,44440,1.0,Y,13,8,0,20.0,2,20,0,7,High,Excellent,10.808027326106389
1117,Very High,Very High,Good,58,No,Travel_Rarely,Sales,5,Bachelor,Marketing,1,Male,5,Sales Representative,Married,21540,4.0,Y,21,8,1,29.0,3,1,0,0,High,Outstanding,9.888919376693611
1118,Low,High,Better,32,Yes,Travel_Frequently,Research & Development,9,Bachelor,Life Sciences,1,Male,2,Laboratory Technician,Single,191900,3.0,Y,17,8,1,8.0,2,4,0,3,High,Excellent,10.177563559321944
1119,Medium,Very High,Best,38,No,Travel_Rarely,Research & Development,3,Master,Life Sciences,1,Female,1,Sales Representative,Divorced,44900,2.0,Y,21,8,1,10.0,1,5,0,3,High,Outstanding,7.588148540489445
1120,Medium,Very High,Better,49,No,Travel_Frequently,Sales,11,Master,Life Sciences,1,Male,2,Research Scientist,Married,35060,3.0,Y,11,8,1,28.0,4,5,4,3,Medium,Excellent,6.231919831223611
1121,Medium,Very High,Better,42,No,Travel_Rarely,Sales,1,Bachelor,Life Sciences,1,Female,1,Sales Executive,Divorced,23720,3.0,Y,12,8,1,14.0,3,0,0,0,High,Excellent,8.7019821673525
1122,Low,Medium,Better,27,Yes,Travel_Frequently,Sales,8,Below College,Life Sciences,1,Male,4,Laboratory Technician,Married,102310,1.0,Y,13,8,1,1.0,2,1,0,0,High,Excellent,6.475235307621666
1123,Medium,Low,Bad,35,No,Travel_Rarely,Research & Development,25,Below College,Medical,1,Male,1,Sales Executive,Married,54100,0.0,Y,18,8,0,6.0,4,5,0,4,High,Excellent,6.612638888888889
1124,High,High,Good,28,No,Non-Travel,Research & Development,21,Below College,Medical,1,Male,3,Research Scientist,Single,79780,1.0,Y,16,8,2,5.0,2,5,1,4,High,Excellent,6.608601614434722
1125,High,Low,Best,31,No,Non-Travel,Sales,23,Below College,Medical,1,Male,1,Sales Executive,Divorced,38670,1.0,Y,11,8,1,4.0,4,4,2,3,Very High,Excellent,9.812982456140277
1126,Low,Medium,Better,36,No,Non-Travel,Research & Development,1,Bachelor,Life Sciences,1,Male,2,Research Scientist,Married,28380,1.0,Y,19,8,2,5.0,5,5,0,2,Low,Excellent,7.043449453551666
1127,Low,Very High,Good,34,No,Travel_Rarely,Sales,2,Bachelor,Marketing,1,Male,4,Healthcare Representative,Single,46950,1.0,Y,16,8,1,14.0,2,14,2,1,High,Excellent,6.024793447293334
1128,Very High,High,Good,34,No,Travel_Rarely,Research & Development,19,Bachelor,Technical Degree,1,Female,1,Research Director,Divorced,33390,1.0,Y,16,8,0,9.0,2,8,1,1,Medium,Excellent,6.745133658763334
1129,High,Low,Good,26,No,Travel_Rarely,Research & Development,2,College,Life Sciences,1,Male,2,Research Scientist,Single,20800,0.0,Y,13,8,0,8.0,6,7,7,6,Very High,Excellent,6.743263603109167
1130,Low,Low,Good,29,No,Travel_Rarely,Research & Development,2,Master,Other,1,Male,2,Laboratory Technician,Married,20960,0.0,Y,22,8,0,6.0,2,5,0,2,Very High,Outstanding,7.720940972222222
1131,High,Very High,Better,32,No,Non-Travel,Research & Development,3,Below College,Life Sciences,1,Male,3,Manager,Divorced,62090,5.0,Y,17,8,1,9.0,5,5,1,2,Very High,Excellent,6.5925899362475
1132,Very High,Low,Better,31,No,Travel_Frequently,Research & Development,25,Doctor,Technical Degree,1,Female,2,Human Resources,Married,180610,1.0,Y,14,8,1,10.0,2,10,8,7,High,Excellent,6.921297468354167
1133,High,Very High,Good,28,Yes,Travel_Rarely,Sales,7,Doctor,Life Sciences,1,Female,2,Sales Representative,Divorced,171230,5.0,Y,15,8,1,6.0,2,4,0,3,Medium,Excellent,6.292145467836111
1134,Low,Low,Good,38,No,Travel_Rarely,Research & Development,9,College,Technical Degree,1,Male,3,Sales Representative,Single,23720,4.0,Y,12,8,0,20.0,3,1,0,0,Medium,Excellent,7.1798342478280555
1135,High,Very High,Better,35,No,Travel_Rarely,Research & Development,5,Bachelor,Life Sciences,1,Male,2,Sales Representative,Married,48830,1.0,Y,18,8,1,10.0,1,10,0,9,Low,Excellent,8.739636015325555
1136,Very High,Very High,Better,27,No,Travel_Rarely,Sales,2,Bachelor,Life Sciences,1,Female,1,Manager,Single,39040,1.0,Y,15,8,0,7.0,2,7,0,7,High,Excellent,7.891162551440278
1137,Very High,Very High,Better,32,No,Travel_Rarely,Research & Development,8,Below College,Medical,1,Female,2,Research Scientist,Single,46270,8.0,Y,17,8,1,8.0,2,1,0,0,Medium,Excellent,7.298776400367222
1138,Low,Very High,Better,31,Yes,Travel_Frequently,Research & Development,2,Below College,Other,1,Male,3,Sales Executive,Married,70940,1.0,Y,14,8,1,10.0,2,10,0,8,High,Excellent,10.317699952107223
1139,Low,Low,Good,53,Yes,Travel_Rarely,Research & Development,18,Bachelor,Medical,1,Male,1,Research Scientist,Single,34230,6.0,Y,15,8,1,15.0,4,2,2,2,High,Excellent,10.807994331065556
1140,Low,High,Good,54,No,Travel_Rarely,Research & Development,14,Bachelor,Other,1,Male,3,Research Scientist,Married,66740,3.0,Y,17,8,1,9.0,2,4,2,3,High,Excellent,7.794848593228333
1141,Very High,High,Better,33,No,Travel_Frequently,Research & Development,2,Master,Medical,1,Female,4,Sales Executive,Divorced,168800,1.0,Y,14,8,3,9.0,2,9,2,8,High,Excellent,7.866225895316667
1142,Low,High,Better,43,No,Travel_Rarely,Research & Development,3,Bachelor,Medical,1,Male,1,Research Scientist,Married,90940,1.0,Y,12,8,1,10.0,0,10,0,9,High,Excellent,7.4193360433602775
1143,Very High,Medium,Better,38,No,Travel_Frequently,Research & Development,2,Doctor,Medical,1,Female,4,Sales Executive,Married,84460,0.0,Y,14,8,0,7.0,3,6,1,2,Medium,Excellent,7.923714526214445
1144,High,Medium,Better,55,No,Travel_Rarely,Sales,9,Bachelor,Marketing,1,Male,2,Laboratory Technician,Married,119160,4.0,Y,15,8,1,35.0,3,10,1,4,Medium,Excellent,8.151902071563056
1145,Very High,Very High,Better,31,No,Travel_Rarely,Sales,6,Bachelor,Other,1,Male,1,Manufacturing Director,Divorced,45340,1.0,Y,13,8,0,1.0,2,1,0,0,High,Excellent,10.760266346593333
1146,Medium,Low,Better,39,No,Travel_Rarely,Research & Development,4,Bachelor,Life Sciences,1,Male,2,Sales Executive,Single,98520,0.0,Y,12,8,1,21.0,5,20,11,10,Medium,Excellent,6.062618357487778
1147,Very High,High,Better,42,No,Non-Travel,Research & Development,10,Master,Life Sciences,1,Female,2,Research Scientist,Single,61510,1.0,Y,13,8,1,20.0,3,20,3,7,High,Excellent,6.562362318840556
1148,High,High,Best,31,No,Non-Travel,Research & Development,14,College,Life Sciences,1,Male,2,Healthcare Representative,Married,23020,4.0,Y,14,8,0,13.0,3,11,4,8,High,Excellent,6.103670634920555
1149,High,Low,Better,54,No,Travel_Rarely,Research & Development,1,Bachelor,Medical,1,Female,2,Human Resources,Single,23620,6.0,Y,13,8,1,9.0,2,5,1,4,Very High,Excellent,10.512341915085555
1150,Medium,High,Good,24,No,Travel_Rarely,Research & Development,5,Master,Other,1,Male,1,Manufacturing Director,Single,178610,1.0,Y,11,8,2,4.0,5,4,1,2,Low,Excellent,6.875998155831945
1151,Very High,Very High,Best,23,No,Travel_Rarely,Research & Development,7,Bachelor,Life Sciences,1,Male,2,Research Scientist,Single,191870,1.0,Y,11,8,1,5.0,2,5,1,4,High,Excellent,6.9943014533519445
1152,Very High,High,Best,40,No,Travel_Frequently,Research & Development,21,Bachelor,Medical,1,Female,3,Research Scientist,Married,197170,1.0,Y,21,8,0,10.0,1,10,9,4,Medium,Outstanding,7.7470358939183335
1153,Medium,Medium,Better,40,No,Travel_Rarely,Research & Development,8,Below College,Medical,1,Female,5,Research Scientist,Married,35440,3.0,Y,18,8,3,15.0,3,11,5,10,Medium,Excellent,6.1602800925925
1154,High,Medium,Better,25,No,Travel_Rarely,Sales,20,Doctor,Medical,1,Female,2,Laboratory Technician,Married,85000,4.0,Y,12,8,0,6.0,2,2,1,2,High,Excellent,6.181572855750278
1155,Very High,Medium,Good,30,No,Travel_Rarely,Human Resources,20,Master,Life Sciences,1,Male,2,Research Scientist,Married,46610,1.0,Y,11,8,0,12.0,3,12,1,7,Medium,Excellent,5.976312801932222
1156,Very High,High,Good,25,No,Travel_Rarely,Research & Development,7,College,Medical,1,Male,5,Sales Executive,Divorced,41030,6.0,Y,15,8,1,7.0,2,2,0,2,High,Excellent,10.150566239316111
1157,Low,High,Better,47,No,Travel_Rarely,Research & Development,1,Master,Life Sciences,1,Male,2,Sales Executive,Single,42490,2.0,Y,13,8,1,25.0,2,17,12,11,Medium,Excellent,7.711920702753889
1158,Medium,High,Good,33,No,Non-Travel,Research & Development,1,Bachelor,Life Sciences,1,Male,2,Research Scientist,Divorced,140260,1.0,Y,12,8,0,1.0,4,1,0,0,High,Excellent,6.171750478926945
1159,Very High,Medium,Better,38,No,Travel_Rarely,Research & Development,19,Bachelor,Life Sciences,1,Female,2,Sales Executive,Married,68930,0.0,Y,17,8,0,16.0,3,15,5,8,High,Excellent,7.8709828154425
1160,Low,High,Better,31,No,Travel_Rarely,Research & Development,10,Master,Medical,1,Female,3,Sales Executive,Married,61250,0.0,Y,13,8,1,3.0,3,2,1,2,High,Excellent,7.149728234728055
1161,Low,High,Better,38,No,Travel_Frequently,Research & Development,1,Master,Other,1,Male,2,Research Scientist,Married,36690,2.0,Y,19,8,0,10.0,2,8,7,7,High,Excellent,6.509626951331389
1162,Very High,Low,Good,42,No,Travel_Rarely,Research & Development,6,Bachelor,Medical,1,Male,2,Laboratory Technician,Divorced,100080,6.0,Y,19,8,1,9.0,3,4,1,2,Low,Excellent,9.767906420765
1163,Very High,Very High,Better,41,No,Travel_Rarely,Sales,2,College,Medical,1,Male,1,Healthcare Representative,Married,23870,3.0,Y,17,8,1,12.0,1,5,1,0,Low,Excellent,7.666011820330834
1164,High,Medium,Bad,47,No,Non-Travel,Research & Development,21,College,Medical,1,Male,1,Sales Executive,Married,46390,0.0,Y,11,8,1,14.0,2,13,5,12,Medium,Excellent,7.1983893461361115
1165,Very High,High,Better,35,No,Travel_Rarely,Research & Development,4,Bachelor,Life Sciences,1,Male,2,Healthcare Representative,Married,78980,7.0,Y,15,8,0,5.0,2,2,2,2,Medium,Excellent,10.354912095639722
1166,Very High,High,Best,22,No,Travel_Rarely,Human Resources,12,Below College,Human Resources,1,Male,2,Sales Executive,Single,25340,0.0,Y,11,8,0,4.0,1,3,1,2,High,Excellent,6.344536231883889
1167,Medium,High,Better,35,No,Travel_Rarely,Research & Development,9,Bachelor,Medical,1,Female,2,Sales Executive,Single,131420,1.0,Y,25,8,2,10.0,4,10,0,8,High,Outstanding,7.971804407713333
1168,Medium,Very High,Better,33,No,Travel_Rarely,Sales,3,Master,Medical,1,Male,3,Healthcare Representative,Married,16110,0.0,Y,14,8,0,10.0,2,9,8,1,Medium,Excellent,9.103674504379722
1169,High,Medium,Better,32,No,Travel_Rarely,Research & Development,3,College,Technical Degree,1,Male,3,Manufacturing Director,Single,53630,1.0,Y,13,8,0,6.0,4,6,4,1,High,Excellent,6.957937641723333
1170,Low,Very High,Good,40,No,Travel_Rarely,Research & Development,1,Master,Medical,1,Male,2,Research Director,Married,50710,8.0,Y,17,8,1,8.0,3,1,0,0,Medium,Excellent,6.13782508491
1171,Medium,Medium,Better,32,No,Travel_Rarely,Research & Development,1,College,Medical,1,Male,3,Sales Executive,Married,136950,0.0,Y,13,8,0,3.0,3,2,2,2,High,Excellent,5.984590336134445
1172,Low,Very High,Better,39,No,Travel_Rarely,Research & Development,4,Master,Life Sciences,1,Male,1,Sales Executive,Single,134020,7.0,Y,14,8,1,18.0,1,7,1,7,High,Excellent,7.983812915479445
1173,Medium,High,Better,38,No,Travel_Rarely,Sales,20,Master,Medical,1,Female,2,Research Director,Married,20290,3.0,Y,11,8,1,20.0,3,18,1,11,Medium,Excellent,8.00095410628
1174,High,Very High,Better,32,No,Travel_Rarely,Research & Development,18,Bachelor,Life Sciences,1,Male,2,Manager,Married,63770,1.0,Y,12,8,2,14.0,3,14,5,7,High,Excellent,7.831671354899167
1175,High,Very High,Better,37,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,1,Female,4,Sales Executive,Married,54290,1.0,Y,17,8,1,16.0,3,16,6,8,High,Excellent,9.385844859381944
1176,Low,High,Good,25,No,Travel_Rarely,Research & Development,2,Master,Medical,1,Female,2,Manufacturing Director,Divorced,27850,0.0,Y,21,8,0,6.0,2,5,0,4,High,Outstanding,7.971588934613611
1177,Low,Very High,Good,52,No,Non-Travel,Research & Development,2,Master,Other,1,Male,1,Manager,Divorced,46140,2.0,Y,16,8,1,16.0,3,9,0,0,High,Excellent,6.776867346938611
1178,Medium,Very High,Better,44,No,Travel_Rarely,Research & Development,8,Below College,Life Sciences,1,Female,1,Sales Representative,Single,26100,6.0,Y,15,8,0,6.0,2,4,1,2,High,Excellent,10.667399527186667
1179,High,Low,Better,21,No,Travel_Rarely,Sales,10,Doctor,Medical,1,Male,3,Research Scientist,Single,66870,1.0,Y,19,8,3,2.0,0,2,1,2,High,Excellent,8.125646990740556
1180,Very High,Very High,Good,39,No,Non-Travel,Research & Development,3,Master,Life Sciences,1,Female,2,Research Director,Single,47240,2.0,Y,12,8,1,21.0,4,6,1,3,Very High,Excellent,6.229708726945556
1181,Very High,Low,Good,23,Yes,Travel_Frequently,Research & Development,2,Master,Life Sciences,1,Female,2,Manufacturing Director,Married,61790,1.0,Y,11,8,0,1.0,3,1,1,0,High,Excellent,7.9902862688013885
1182,Low,Very High,Better,36,No,Travel_Rarely,Research & Development,24,Bachelor,Life Sciences,1,Female,2,Laboratory Technician,Married,61200,0.0,Y,19,8,0,10.0,2,9,3,4,High,Excellent,7.760554417121944
1183,Very High,Medium,Better,36,No,Travel_Frequently,Research & Development,16,Below College,Medical,1,Male,2,Sales Executive,Divorced,105960,7.0,Y,15,8,0,18.0,3,4,0,2,Medium,Excellent,7.844118408662778
1184,High,High,Good,56,No,Non-Travel,Research & Development,8,Below College,Life Sciences,1,Male,1,Sales Executive,Divorced,54670,1.0,Y,20,8,0,13.0,6,13,1,9,Medium,Outstanding,6.564379789271944
1185,Low,Very High,Best,29,Yes,Travel_Rarely,Research & Development,9,Master,Medical,1,Male,2,Sales Representative,Married,29960,9.0,Y,25,8,0,4.0,4,2,2,2,High,Outstanding,10.903593117408889
1186,Low,High,Good,42,No,Travel_Rarely,Research & Development,17,Below College,Life Sciences,1,Male,3,Research Scientist,Married,99980,5.0,Y,24,8,2,24.0,3,22,4,14,Medium,Outstanding,7.398867258651944
1187,Very High,High,Bad,56,Yes,Travel_Rarely,Sales,10,Master,Other,1,Male,2,Sales Executive,Married,40780,8.0,Y,24,8,1,14.0,3,10,9,8,High,Outstanding,6.762132808774167
1188,Low,Medium,Better,41,No,Travel_Rarely,Research & Development,13,Master,Life Sciences,1,Female,1,Healthcare Representative,Married,109200,0.0,Y,15,8,1,21.0,3,20,0,10,Very High,Excellent,7.80004964539
1189,Very High,High,Better,34,No,Travel_Rarely,Sales,1,Bachelor,Medical,1,Female,1,Laboratory Technician,Married,62320,1.0,Y,13,8,1,8.0,3,8,1,7,High,Excellent,7.288557463042222
1190,Very High,Very High,Good,36,No,Non-Travel,Sales,1,Below College,Medical,1,Female,1,Human Resources,Divorced,132470,1.0,Y,14,8,0,15.0,3,15,11,11,High,Excellent,7.641958937198056
1191,High,Medium,Better,41,No,Travel_Rarely,Research & Development,1,Doctor,Medical,1,Male,1,Healthcare Representative,Divorced,40810,2.0,Y,13,8,0,14.0,3,5,0,4,High,Excellent,7.091824074073889
1192,Very High,Low,Better,32,No,Travel_Rarely,Sales,9,Master,Life Sciences,1,Female,2,Research Scientist,Single,57690,1.0,Y,11,8,0,4.0,3,4,1,2,High,Excellent,6.725276595744444
1193,High,Very High,Better,35,No,Travel_Rarely,Research & Development,16,Bachelor,Medical,1,Female,2,Healthcare Representative,Single,23940,1.0,Y,16,8,1,9.0,3,9,1,7,High,Excellent,10.416504922643888
1194,Low,Very High,Better,38,No,Travel_Rarely,Research & Development,23,Bachelor,Medical,1,Male,3,Sales Representative,Married,39040,1.0,Y,22,8,0,10.0,3,10,1,9,Medium,Outstanding,6.84912780064
1195,Medium,High,Better,50,Yes,Travel_Frequently,Sales,4,College,Life Sciences,1,Female,2,Laboratory Technician,Divorced,167990,7.0,Y,14,8,1,12.0,2,6,0,1,Medium,Excellent,7.208894824311389
1196,Medium,High,Good,36,No,Travel_Rarely,Research & Development,22,Master,Life Sciences,1,Male,1,Healthcare Representative,Married,29500,4.0,Y,14,8,0,8.0,1,6,0,0,Medium,Excellent,6.224087806026111
1197,Very High,High,Better,45,No,Travel_Rarely,Sales,24,Bachelor,Life Sciences,1,Male,1,Laboratory Technician,Single,36290,8.0,Y,16,8,1,8.0,2,5,0,1,Very High,Excellent,6.0501582125602775
1198,High,High,Better,40,No,Travel_Rarely,Sales,10,Master,Life Sciences,1,Male,1,Research Scientist,Single,93620,2.0,Y,11,8,1,8.0,6,2,2,2,High,Excellent,6.159707049486389
1199,High,High,Best,35,No,Travel_Frequently,Sales,7,College,Life Sciences,1,Male,2,Manufacturing Director,Married,32290,1.0,Y,25,8,0,10.0,2,10,0,2,Medium,Outstanding,8.394773266856388
1200,High,High,Better,40,No,Travel_Rarely,Research & Development,17,Master,Life Sciences,1,Male,1,Manager,Married,35780,2.0,Y,14,8,1,20.0,2,5,0,2,High,Excellent,7.452481167608055
1201,High,Very High,Better,35,No,Travel_Rarely,Human Resources,14,Below College,Life Sciences,1,Male,2,Research Scientist,Married,79880,1.0,Y,18,8,0,4.0,3,4,1,1,High,Excellent,6.896099439775833
1202,Very High,Medium,Better,29,No,Travel_Rarely,Research & Development,1,Bachelor,Medical,1,Male,3,Sales Executive,Married,42840,4.0,Y,11,8,0,10.0,5,4,0,3,Medium,Excellent,9.817854683195556
1203,Very High,Low,Bad,29,No,Travel_Rarely,Research & Development,5,Bachelor,Medical,1,Male,2,Sales Representative,Single,75530,1.0,Y,19,8,0,5.0,3,5,0,4,High,Excellent,6.0839634986225
1204,Very High,Low,Better,50,Yes,Travel_Rarely,Research & Development,17,Bachelor,Medical,1,Male,1,Research Scientist,Divorced,173280,4.0,Y,15,8,2,20.0,1,3,2,0,High,Excellent,9.576595793324167
1205,Medium,Very High,Good,39,No,Travel_Rarely,Sales,25,Bachelor,Medical,1,Male,2,Sales Executive,Married,197010,0.0,Y,11,8,0,21.0,3,20,9,6,Very High,Excellent,7.445631739334167
1206,Medium,Low,Better,31,No,Non-Travel,Research & Development,8,Master,Life Sciences,1,Female,4,Sales Executive,Single,147320,0.0,Y,12,8,0,10.0,3,9,1,7,High,Excellent,7.246870604781944
1207,Very High,High,Better,26,No,Travel_Rarely,Research & Development,11,Master,Medical,1,Male,2,Manager,Single,92780,0.0,Y,20,8,0,5.0,3,4,0,0,High,Outstanding,7.5006752673175
1208,High,Very High,Better,36,No,Travel_Frequently,Research & Development,5,Below College,Technical Degree,1,Male,1,Sales Executive,Married,13590,4.0,Y,12,8,0,17.0,2,5,0,3,High,Excellent,7.662244121715
1209,Very High,Low,Better,39,No,Travel_Rarely,Research & Development,2,Below College,Medical,1,Female,1,Research Scientist,Married,47790,4.0,Y,14,8,2,9.0,3,7,1,7,High,Excellent,6.046757297551666
1210,Medium,Medium,Better,27,No,Travel_Rarely,Research & Development,8,College,Medical,1,Male,1,Laboratory Technician,Married,164220,1.0,Y,20,8,1,6.0,3,6,0,3,High,Outstanding,9.246193236714722
1211,Very High,Medium,Good,49,No,Travel_Frequently,Research & Development,6,Below College,Medical,1,Male,3,Healthcare Representative,Married,29960,2.0,Y,18,8,1,17.0,2,9,0,8,Medium,Excellent,6.368901781528334
1212,Medium,High,Best,34,No,Travel_Rarely,Sales,4,Bachelor,Medical,1,Female,1,Sales Executive,Married,12610,2.0,Y,14,8,1,6.0,6,4,1,2,High,Excellent,6.376991139846667
1213,Medium,Very High,Bad,41,Yes,Travel_Rarely,Research & Development,7,College,Life Sciences,1,Female,1,Research Scientist,Single,20990,8.0,Y,12,8,1,8.0,2,6,0,5,High,Excellent,8.589488555078612
1214,High,Medium,Better,49,No,Travel_Frequently,Sales,1,Master,Life Sciences,1,Female,2,Manufacturing Director,Married,58100,1.0,Y,21,8,1,10.0,2,10,1,7,High,Outstanding,6.713213276836111
1215,Very High,High,Better,37,Yes,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,1,Male,1,Sales Executive,Single,56470,6.0,Y,19,8,0,7.0,2,0,0,0,High,Excellent,8.52120370370361
1216,Very High,High,Better,33,No,Travel_Frequently,Research & Development,10,College,Medical,1,Male,2,Research Scientist,Married,34200,1.0,Y,14,8,0,8.0,3,8,3,0,High,Excellent,9.442763772175278
1217,Low,Medium,Better,27,No,Travel_Rarely,Sales,5,Master,Medical,1,Female,4,Manufacturing Director,Married,44000,9.0,Y,17,8,1,6.0,3,2,2,2,Medium,Excellent,6.377757852789444
1218,Very High,Very High,Good,32,No,Travel_Frequently,Research & Development,9,College,Medical,1,Female,2,Research Scientist,Single,35000,0.0,Y,16,8,1,8.0,2,7,3,6,Medium,Excellent,7.184871073605
1219,High,Low,Good,59,No,Travel_Rarely,Sales,2,College,Marketing,1,Female,5,Sales Representative,Married,20660,4.0,Y,12,8,1,12.0,3,1,0,0,High,Excellent,9.949780141843888
1220,Very High,High,Better,30,No,Travel_Rarely,Research & Development,11,Master,Medical,1,Male,2,Laboratory Technician,Divorced,171690,1.0,Y,17,8,2,1.0,2,1,0,0,High,Excellent,6.363010789715278
1221,Very High,High,Better,38,No,Travel_Frequently,Sales,18,Master,Life Sciences,1,Male,2,Healthcare Representative,Single,41620,0.0,Y,15,8,1,10.0,1,9,1,8,High,Excellent,7.997498856881389
1222,High,High,Good,36,No,Travel_Rarely,Research & Development,7,Bachelor,Life Sciences,1,Male,1,Sales Executive,Married,92040,6.0,Y,23,8,1,17.0,2,7,7,7,High,Outstanding,7.832184343434166
1223,Low,Medium,Better,35,No,Travel_Rarely,Human Resources,3,Master,Human Resources,1,Male,2,Manager,Married,32940,0.0,Y,11,8,0,6.0,2,5,0,3,High,Excellent,7.435350140055833
1224,Very High,High,Better,29,No,Travel_Rarely,Sales,29,Master,Life Sciences,1,Male,2,Laboratory Technician,Single,21270,0.0,Y,11,8,1,10.0,3,9,0,8,Medium,Excellent,10.679250235404723
1225,High,High,Good,31,No,Travel_Rarely,Research & Development,2,College,Medical,1,Male,2,Laboratory Technician,Divorced,39750,1.0,Y,15,8,1,5.0,3,5,4,3,High,Excellent,6.3133883994125
1226,Medium,Very High,Better,34,No,Travel_Rarely,Research & Development,28,Bachelor,Technical Degree,1,Male,1,Laboratory Technician,Divorced,107930,0.0,Y,11,8,3,3.0,1,2,1,2,Medium,Excellent,7.614092348927778
1227,High,High,Better,28,Yes,Travel_Rarely,Research & Development,1,Master,Life Sciences,1,Male,5,Research Director,Single,100960,5.0,Y,13,8,0,6.0,2,4,0,3,High,Excellent,10.438539007091945
1228,Medium,Low,Better,29,No,Travel_Rarely,Research & Development,16,College,Life Sciences,1,Female,4,Laboratory Technician,Divorced,36460,1.0,Y,14,8,0,10.0,3,10,8,8,Very High,Excellent,7.898937768240278
1229,Low,Medium,Good,32,No,Travel_Rarely,Human Resources,22,Bachelor,Human Resources,1,Female,2,Research Director,Divorced,74460,0.0,Y,19,8,0,7.0,3,6,0,5,High,Excellent,10.69599002849
1230,Very High,Very High,Good,22,No,Non-Travel,Research & Development,8,Bachelor,Life Sciences,1,Female,3,Sales Executive,Divorced,108510,1.0,Y,16,8,1,1.0,2,1,0,0,Very High,Excellent,9.960559086628889
